sale_type,sold_date,property_type,address,city,state_or_province,zip_code,price,beds,baths,location,sq_feet,lot_size,yr_built,days_on_mkt,price_per_sq_foot,hoa_per_month,status,next_open_house_start_time,next_open_house_end_time,url,source,mls_num,favorite,interested,latitude,longitude
MLS Listing,,Condo/Co-op,51 Innes Ct #207,San Francisco,CA,94124,670000,1,1.0,San Francisco,720,,2017,4,931,504,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/unit-207/home/160765879,Bridge MLS,40862442,N,Y,37.7272013,-122.3678264
MLS Listing,,Single Family Residential,383 Arkansas St,San Francisco,CA,94107,1799000,2,2.0,Potrero Hill,1520,1750,1900,4,1184,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/383-Arkansas-St-94107/home/1695174,San Francisco MLS,483736,N,Y,37.7614583,-122.3981114
MLS Listing,,Townhouse,37 Megan Dr,San Francisco,CA,94134,925000,3,2.5,Little Hollywood,1572,,,4,588,234,Active,,,http://www.redfin.com/CA/San-Francisco/37-Megan-Dr-94134/home/40457121,San Francisco MLS,483988,N,Y,37.7139473,-122.3985596
MLS Listing,,Condo/Co-op,1001 Pine St #1309,San Francisco,CA,94109,698000,1,1.0,Downtown,616,,1963,4,1133,567,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1001-Pine-St-94109/unit-1309/home/1770551,San Francisco MLS,483981,N,Y,37.7903477,-122.4125675
MLS Listing,,Condo/Co-op,401 Harrison Unit 38G,San Francisco,CA,94105,1195000,1,1.0,South Beach,759,,2014,4,1574,1157,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-38G/home/144064310,San Francisco MLS,483985,N,Y,37.7863747,-122.3919931
MLS Listing,,Condo/Co-op,1998 Broadway #1205,San Francisco,CA,94109,1985000,2,2.0,Pacific Heights,1390,,1964,4,1428,1283,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1998-Broadway-94109/unit-1205/home/1126819,San Francisco MLS,483978,N,Y,37.7952766,-122.4297868
MLS Listing,,Single Family Residential,1720 14th Ave,San Francisco,CA,94122,1495000,3,2.0,Golden Gate Heights,1899,1925,1979,4,787,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1720-14th-Ave-94122/home/1368470,San Francisco MLS,483974,N,Y,37.7559393,-122.4707507
MLS Listing,,Condo/Co-op,902 Filbert,San Francisco,CA,94133,2699000,3,2.5,Russian Hill,1750,,,4,1542,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/902-Filbert-St-94133/home/163573364,San Francisco MLS,483968,N,Y,37.800835,-122.4145402
MLS Listing,,Single Family Residential,2760 41st Ave,San Francisco,CA,94116,1095000,3,2.0,Outer Parkside,1566,2369,1948,4,699,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/2760-41st-Ave-94116/home/1138601,San Francisco MLS,483963,N,Y,37.7352627,-122.4985431
MLS Listing,,Condo/Co-op,725 Pine St #102,San Francisco,CA,94108,698000,1,1.0,Downtown,600,,1920,4,1163,677,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/725-Pine-St-94108/unit-102/home/17306844,San Francisco MLS,483653,N,Y,37.7910138,-122.4076967
MLS Listing,,Condo/Co-op,888 7th St #311,San Francisco,CA,94107,356614,1,1.0,Potrero Hill,534,,2007,5,668,385,Active,May-1-2019 07:30 PM,May-1-2019 09:30 PM,http://www.redfin.com/CA/San-Francisco/888-7th-St-94107/unit-311/home/17306006,San Francisco MLS,483800,N,Y,37.7703795,-122.4010623
MLS Listing,,Condo/Co-op,765 Market St Unit 24A,San Francisco,CA,94103,5495000,3,3.0,South of Market,2677,,2001,5,2053,2668,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-24A/home/1276001,San Francisco MLS,482811,N,Y,37.786097,-122.4041629
MLS Listing,,Condo/Co-op,51 Innes Ct #204,San Francisco,CA,94124,899000,2,2.0,Hunters Point,1190,,2017,5,755,592,Active,,,http://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/unit-204/home/148697267,San Francisco MLS,483948,N,Y,37.7272013,-122.3678264
